Prompt,Category,Subject,Context Dependency
"If a recipe for 4 people needs 600 g of rice, how much rice for 7 people?",Math,Math,No
Write a dialogue between two software engineers debating test-driven development.,Dialogue,Computer Science,Yes
Calculate the simple interest on $1200 at 5% per annum for 3 years.,Math,Finance,No
Who discovered penicillin?,Knowledge,Biology,No
"Rewrite the legal clause in plain language, preserving the obligations.",Instruction,Law,Yes
A car travels 120 km in 2 hours and then 60 km in 1 hour. What is its average speed?,Math,Math,No
"Evaluate: If f(x)=x^2−4x+3, find f(5).",Math,Algebra,No
Read the passage and identify the bias present in the author's argument.,Reading,Media Literacy,Yes
Write a Python function that returns the Fibonacci sequence up to n.,Programming,Computer Science,No
"Who was the producer of the movie, ""My Name is Khan""?",Knowledge,Film,Yes
Implement a function to perform binary search and return the index or -1.,Programming,Computer Science,No
"Explain the differences between supervised, unsupervised, and reinforcement learning with one example each.",Knowledge,Computer Science,No
Write a dialogue between a mentor and mentee about impostor syndrome in tech.,Dialogue,Career,Yes
Write a Python function to merge two sorted lists into one sorted list.,Programming,Computer Science,No
State two differences between weather and climate with examples.,Knowledge,Geography,No
Explain the difference between precision and recall in classification.,Knowledge,Computer Science,No
Read the paragraph and infer the company's main risk in entering the new market.,Reading,Business,Yes
"Draft a dialogue between a mayor and citizens about building a new park, capturing conflicting priorities.",Dialogue,Civics,Yes
Read the article and answer: What were the two main causes of the strike mentioned?,Reading,Current Affairs,Yes
"Explain, step by step, how to balance the chemical equation: Fe + O2 → Fe2O3.",Instruction,Chemistry,No
Compose a short ode to a seaside town at dawn with imagery of light and wind.,Creative,Literature,No
Suggest a creative campaign to reduce plastic bottle use on campus; include three concrete actions.,Creative,Environment,No
Name the gas plants use to perform photosynthesis.,Knowledge,Biology,No
Summarize the two opposing viewpoints in the provided editorial.,Instruction,Civics,Yes
Summarize the chapter and propose two discussion questions for a seminar.,Instruction,Literature,Yes
Translate to Spanish: 'Knowledge is power.',Instruction,Language,No
"Compute the least common multiple of 12, 18, and 20.",Math,Number Theory,No
Summarize the following text about climate change.,Instruction,Environment,Yes
"If you mix yellow and blue paint, what color appears?",Commonsense,Art,No
Write a SQL query to select customers who purchased more than 5 items last month.,Programming,Computer Science,No
Discuss how the water cycle would change in a world where mountains were half their current height.,Creative,Geography,No
Design a conversation between a doctor and a parent discussing vaccine hesitancy. Show empathy and evidence-based advice.,Dialogue,Health,Yes
What is 7 + 8?,Math,Math,No
Rewrite in passive voice: 'The researcher conducted the experiment.',Instruction,Language,No
Explain how plate tectonics leads to the formation of mountains and earthquakes.,Knowledge,Geology,No
Who invented the World Wide Web?,Knowledge,Computer Science,No
Explain why plants lean toward sunlight.,Commonsense,Biology,No
Translate into German: 'The library is next to the train station.',Instruction,Language,No
"If a company increases prices while demand stays the same, what happens to revenue?",Commonsense,Economics,No
Who was the emperor of Rome during the eruption of Mount Vesuvius?,Knowledge,History,No
"If a person doesn't drink water for two days, what will happen?",Commonsense,Biology,No
What is the boiling point of water at sea level?,Knowledge,Chemistry,No
Write a Python function to generate prime numbers up to n.,Programming,Computer Science,No
Design a dialogue between a scientist and a policymaker about climate action.,Dialogue,Environment,Yes
Summarize the given research paper's abstract in 3 bullet points.,Instruction,Research Methods,Yes
Explain the Pythagorean theorem and give a real-life example.,Knowledge,Math,No
Compose a short poem comparing the sea to human emotions.,Creative,Literature,No
What is the derivative of sin(x)?,Math,Calculus,No
Write a SQL query to calculate the average salary of employees.,Programming,Computer Science,No
"If you drop a feather and a coin in a vacuum, what happens?",Commonsense,Physics,No
Create a short science fiction story about AI governing a city.,Creative,Literature,No
Compose a dialogue between two astronauts debating Mars colonization.,Dialogue,Space Exploration,Yes
Summarize the passage describing the French Revolution.,Reading,History,Yes
Explain the greenhouse effect in two sentences.,Instruction,Environment,No
Read the text and explain the author's perspective on globalization.,Reading,Economics,Yes
Who discovered the electron?,Knowledge,Physics,No
What is 84 ÷ 12?,Math,Math,No
"If you leave wet clothes outside on a sunny day, what happens?",Commonsense,Daily Life,No
Translate this sentence into Spanish: “The computer is on the desk.”,Instruction,Language,No
Write a Python function to return the factorial of a number.,Programming,Computer Science,No
Read the paragraph and explain why the villagers abandoned their homes.,Reading,History,Yes
Explain how seasons change as Earth orbits the Sun.,Knowledge,Geography,No
Write a dialogue between two friends discussing whether AI will replace jobs.,Dialogue,Technology,Yes
"If an ice cube melts in a glass of water, what happens to the water level?",Commonsense,Physics,No
Summarize the following text about renewable energy in two sentences.,Instruction,Environment,Yes
Who was the first woman to fly solo across the Atlantic Ocean?,Knowledge,History,No
Write a SQL query to count the number of employees in each department.,Programming,Computer Science,No
Compose a poem about the night sky using imagery of stars and silence.,Creative,Literature,No
What is the derivative of cos(x)?,Math,Calculus,No
Read the news article and identify two challenges in global trade mentioned by the author.,Reading,Economics,Yes
Write a dialogue between a teacher and a student about preparing for a debate.,Dialogue,Education,Yes
Design an analogy that explains the internet to someone living in the 1800s.,Creative,Technology,No
Explain the difference between renewable and non-renewable energy sources.,Knowledge,Environment,No
"If demand increases but supply stays the same, what happens to price?",Commonsense,Economics,No
Write a short story about a child who discovers a hidden world inside a book.,Creative,Literature,No
What is the freezing point of water in Celsius?,Knowledge,Chemistry,No
Who was the first human to journey into outer space?,Knowledge,History,No
"If you plant a seed and water it daily, what will eventually happen?",Commonsense,Biology,No
Translate into French: “She is reading a book in the library.”,Instruction,Language,No
Write a function in Python to check if a string is a palindrome.,Programming,Computer Science,No
"If 4 pencils cost $2, how much do 10 pencils cost?",Math,Arithmetic,No
Explain why ice floats on water.,Commonsense,Physics,No
Read the passage and explain the main reason for the character’s decision to leave.,Reading,Literature,Yes
Compare photosynthesis and respiration in terms of energy flow.,Knowledge,Biology,No
Write a dialogue between two engineers debating whether to use renewable energy or fossil fuels.,Dialogue,Environment,Yes
Compose a poem about a storm at sea.,Creative,Literature,No
What is the derivative of ln(x)?,Math,Calculus,No
Explain the key difference between socialism and capitalism.,Knowledge,Economics,No
Read the newspaper excerpt and identify two causes of urban pollution discussed,Reading,Environment,Yes
Write a SQL query to find employees hired after 2020.,Programming,Computer Science,No
Summarize the given article about climate change adaptation strategies.,Instruction,Environment,Yes
"If demand decreases while supply stays constant, what happens to price?",Commonsense,Economics,No
Write a dialogue between a scientist and a journalist about vaccine safety.,Dialogue,Health,Yes
Create a metaphor explaining data encryption to a child.,Creative,Technology,No
Compare and contrast the American Revolution and the French Revolution.,Knowledge,History,No
Who invented the telephone?,Knowledge,History,No
What is the chemical symbol for gold?,Knowledge,Chemistry,No
Who was the first President of the United States?,Knowledge,History,No
What is the speed of light in vacuum?,Knowledge,Physics,No
Explain why seasons occur on Earth.,Knowledge,Geography,No
Compare socialism and communism in terms of economic control.,Knowledge,Economics,No
State two differences between plant and animal cells.,Knowledge,Biology,No
Who composed the symphony 'Eroica'?,Knowledge,Music,No
Explain the causes of the American Civil War.,Knowledge,History,No
Discuss how supply and demand affect inflation.,Knowledge,Economics,No
What is 45 + 76?,Math,Arithmetic,No
Simplify: 3(x + 4) - 2x.,Math,Algebra,No
Differentiate f(x) = x^3 + 2x.,Math,Calculus,No
Find the integral of 2x dx.,Math,Calculus,No
"If a car travels 90 km in 1.5 hours, what is its speed?",Math,Arithmetic,No
Solve: 2x^2 - 8 = 0.,Math,Algebra,No
"Compute the standard deviation of [4, 6, 8, 10].",Math,Statistics,No
"If the probability of rain is 0.7, what is the probability it won't rain?",Math,Probability,No
Calculate the volume of a sphere with radius 5.,Math,Geometry,No
What is the least common multiple of 18 and 24?,Math,Number Theory,No
"If you drop a glass on the floor, what will happen?",Commonsense,Daily Life,No
Why should we wash our hands before eating?,Commonsense,Health,No
What happens if you leave butter in the sun?,Commonsense,Daily Life,No
Why do people wear coats in winter?,Commonsense,Weather,No
"If you touch fire, what happens?",Commonsense,Safety,No
Why does a ball roll down a slope?,Commonsense,Physics,No
What happens to your shadow at noon?,Commonsense,Astronomy,No
"If ice melts, what happens to the water level in the glass?",Commonsense,Physics,No
Why do we need to drink water daily?,Commonsense,Biology,No
"If a phone's battery is low, what will happen?",Commonsense,Technology,No
Translate into Spanish: 'I am going to school.',Instruction,Language,No
Summarize the passage about global warming in 3 sentences.,Instruction,Environment,Yes
Rewrite in passive voice: 'The chef cooked the meal.',Instruction,Language,No
Translate into German: 'Where is the train station?',Instruction,Language,No
Summarize the article about space exploration.,Instruction,Astronomy,Yes
Paraphrase: 'Globalization has connected markets worldwide.',Instruction,Economics,No
Translate into French: 'The children are playing in the park.',Instruction,Language,No
Summarize the news article about renewable energy policies.,Instruction,Environment,Yes
Rewrite this text in simpler terms for 5th graders.,Instruction,Education,Yes
Translate into Bangla: 'Clean water is essential for life.',Instruction,Language,No
Write a Python function to return the maximum of two numbers.,Programming,Computer Science,No
"Write a C program to print 'Hello, World!'.",Programming,Computer Science,No
Explain the difference between stack and queue.,Programming,Computer Science,No
Write a SQL query to retrieve all customers from a database.,Programming,Computer Science,No
Write a Python function to calculate the factorial of n.,Programming,Computer Science,No
Implement a JavaScript function for array reversal.,Programming,Computer Science,No
Explain what a binary search algorithm does.,Programming,Computer Science,No
Write a Python script to read a file and count words.,Programming,Computer Science,No
"Write a SQL query to find employees earning more than $50,000.",Programming,Computer Science,No
Explain the difference between supervised and unsupervised learning.,Programming,Computer Science,No
Read the story and explain why the hero left home.,Reading,Literature,Yes
"From the passage, why did the workers go on strike?",Reading,History,Yes
Read the poem and explain its central theme.,Reading,Literature,Yes
Read the article and identify two causes of climate change mentioned.,Reading,Environment,Yes
"From the essay, explain the author's main argument about education.",Reading,Education,Yes
Read the paragraph and answer: What did the explorer discover?,Reading,History,Yes
Identify two challenges of globalization from the given passage.,Reading,Economics,Yes
Read the report and explain why the project was delayed.,Reading,Business,Yes
"From the novel excerpt, what motivated the character's actions?",Reading,Literature,Yes
Read the study and state the hypothesis tested.,Reading,Research Methods,Yes
Write a dialogue between a teacher and student about exams.,Dialogue,Education,Yes
Write a conversation between two friends about a holiday trip.,Dialogue,Daily Life,Yes
Create a dialogue between a doctor and patient about symptoms.,Dialogue,Health,Yes
Write a dialogue between a shopkeeper and a customer buying fruit.,Dialogue,Daily Life,Yes
Draft a dialogue between a journalist and scientist about climate change.,Dialogue,Environment,Yes
Write a conversation between two programmers debugging code.,Dialogue,Computer Science,Yes
Write a dialogue between two historians debating World War II causes.,Dialogue,History,Yes
Create a dialogue between a mayor and citizens about building a park.,Dialogue,Civics,Yes
Write a dialogue between a mentor and mentee discussing impostor syndrome.,Dialogue,Career,Yes
Write a conversation between a student and librarian about borrowing books.,Dialogue,Education,Yes
Write a short poem about the moon and stars.,Creative,Literature,No
Compose a fantasy story about a hidden kingdom in the clouds.,Creative,Literature,No
Write a short story about a child who discovers a magical door.,Creative,Literature,No
Compose a metaphor explaining black holes using everyday objects.,Creative,Physics,No
Write a sonnet about time and memory.,Creative,Literature,No
Draft a poem about the ocean and its waves.,Creative,Literature,No
Write a creative campaign idea to reduce plastic waste.,Creative,Environment,No
Compose a song about hope and resilience.,Creative,Literature,No
Write a short science fiction story about life on Mars.,Creative,Literature,No
Create an analogy explaining quantum entanglement to a child.,Creative,Physics,No
"If a car travels 90 km in 1.5 hours, what is its speed? ",Math,Arithmetic,No
Paraphrase: 'Globalization has connected markets worldwide.' ,Instruction,Economics,No
Why do we need to drink water daily? ,Commonsense,Biology,No
Find the integral of 2x dx. ,Math,Calculus,No
What is the chemical symbol for potassium?,Knowledge,Chemistry,No
"If you leave ice outside on a hot day, what will happen?",Commonsense,Daily Life,No
Translate into Spanish: “The sun is shining brightly today.”,Instruction,Language,No
What is the sum of the first ten positive integers?,Math,Arithmetic,No
Write a Python function to check if a number is even or odd.,Programming,Computer Science,No
Read the passage and explain why the farmer abandoned his land.,Reading,History,Yes
Why do astronauts experience weightlessness in orbit?,Knowledge,Physics,No
Write a dialogue between two friends deciding what movie to watch.,Dialogue,Daily Life,Yes
Compose a poem about rain falling on city streets.,Creative,Literature,No
Differentiate f(x) = sin(x).,Math,Calculus,No
Explain the main difference between bacteria and viruses.,Knowledge,Biology,No
Summarize the provided article on renewable energy in three sentences.,Instruction,Environment,Yes
What is the capital of Canada?,Knowledge,Geography,No
Read the passage and explain the author’s opinion on globalization.,Reading,Economics,Yes
Write a SQL query to list all customers who joined after 2021,Programming,Computer Science,No
"If a magnet is cut in half, what happens to its poles?",Commonsense,Physics,No
Write a dialogue between a mayor and citizens debating a new highway project,Dialogue,Civics,Yes
Compare and contrast mitosis and meiosis.,Knowledge,Biology,No
Compose a short science fiction story about the first human colony on Mars.,Creative,Literature,No
"If demand increases but supply remains the same, what happens to prices?",Commonsense,Economics,No
What is 12 × 15?,Math,Arithmetic,No
Translate into German: “The children are playing football in the park.”,Instruction,Language,No
xplain how photosynthesis produces oxygen.,Knowledge,Biology,No
Write a Python program to reverse a list of numbers.,Programming,Computer Science,No
Read the study and identify two key limitations of the research.,Reading,Research Methods,Yes
Write a dialogue between a scientist and journalist about climate change.,Dialogue,Environment,Yes
Create an analogy that explains quantum entanglement to a child.,Creative,Physics,No
What is the largest planet in our solar system?,Knowledge,Astronomy,No
Summarize the chapter and suggest two discussion questions for a seminar.,Instruction,Literature,Yes
Write a dialogue between two historians debating the causes of World War I.,Dialogue,History,Yes
What color do you get if you mix blue and yellow paint?,Commonsense,Art,No
Explain the plot of Shakespeare's 'Hamlet' in three sentences.,Reading,Literature,Yes
What is the quadratic formula used for?,Math ,Algebra,No
List three major causes of the French Revolution.,Knowledge ,History,No
"In the novel ""1984"" by George Orwell, what does Big Brother represent? Provide evidence from the text",Reading,Literature,Yes
What are the main causes of climate change and three ways to mitigate them?,Instruction,Environment,No
Prove that the sum of angles in a triangle is 180 degrees using Euclidean geometry.,Math,Geometry,No
Analyze the symbolic significance of the green light in F. Scott Fitzgerald's 'The Great Gatsby'.,Reading,Literature,Yes
Design an algorithm to find the shortest path in a graph using Dijkstra's method.,Programming,Computer Science,No
Compare DNA and RNA structures.,Knowledge,Biology,No
Explain the water cycle in three steps.,Knowledge,Geography,No
Why does metal feel colder than wood at the same temperature?,Commonsense,Physics,No
"If a train leaves Station A at 8 AM traveling at 60 mph, and a second train leaves Station B (300 miles away) at 9 AM traveling towards A at 90 mph, at what time will they meet?",Math,Arithmetic,No
Why does a metal spoon feel colder than a wooden spoon at the same room temperature?,Commonsense,Physics,No
Write a C++ program that implements a linked list with functions to add and remove nodes.,Programming,Computer Science,No
What is the theory of plate tectonics?,Knowledge,Geology,No
List three major causes of the French Revolution.,Knowledge,History,No
Write a short story about a lost traveler finding a hidden city.,Creative,Literature,No
Calculate the area of a triangle with base 6 and height 4.,Math,Geometry,No
Who was the first person to walk on the Moon?,Knowledge,Astronomy,No
"From the article, list two challenges in global trade.",Reading,Economics,Yes
Write a sonnet about friendship and time.,Creative,Literature,No
Calculate the area of a triangle with base 6 and height 4.,Math,Geometry,No
"Draft a conversation between a chef and a diner complaining about a cold meal, resolving with a complimentary dessert.",Dialogue,Business,Yes
"If you mix red and green light, what color do you see?",Commonsense,Physics,No
What is the atomic number of carbon?,Knowledge,Chemistry,No
Read the excerpt from the memoir and describe the emotional turning point for the protagonist.,Reading,Literature,Yes
Outline the steps to create a budget for a small business startup.,Instruction,Economics,No
Solve the equation: x^2 - 5x + 6 = 0.,Math,Algebra,No
Invent a fable about a clever fox outsmarting a greedy wolf in a forest market.,Creative,Literature,No
Write a bash script to monitor disk usage and alert if over 80%.,Programming,Computer Science,No
Paraphrase this complex theorem for a high school audience: Bayes' theorem on conditional probability,Instruction,Statistics,Yes
What is the primary source of energy for Earth's climate system?,Knowledge,Environmental Science,No
"If a recipe serves 6 and uses 2 cups of flour, how much for 10 servings? Show your work.",Math,Arithmetic,No
Explain the role of enzymes in digestion using a simple analogy.,Knowledge,Biology,No
Read the policy document and highlight three unintended consequences for low-income families.,Reading,Economics,Yes
Compose a haiku capturing the essence of a bustling city at rush hour.,Creative,Literature,No
"Why does adding sugar to tea make it sweeter, but not saltier if you add salt?",Commonsense,Chemistry,No
Translate to Italian: 'The museum exhibits ancient Roman artifacts from the empire's peak.',Instruction,Language,No
Who led the independence movement in India against British rule?,Knowledge,History,No
Design a simple game in Python using Pygame for a bouncing ball.,Programming,Computer Science,No
"If you overwater a houseplant, what symptoms appear first?",Commonsense,Biology,No
"Summarize the debate transcript, focusing on arguments for remote work versus office presence.",Instruction,Business,Yes
What is the formula for kinetic energy?,Knowledge,Physics,No
"Write a dialogue between a librarian and a child searching for books on dinosaurs, including a recommendation.",Dialogue,Education,Yes
"Compute the mode of the dataset: 2, 4, 4, 7, 9.",Math,Statistics,No
Explain how erosion shapes river valleys over geological time scales.,Knowledge,Geology,No
Read the short story and infer the theme of resilience from the character's journey,Reading,Literature,Yes
Create a mind map description for brainstorming ideas on sustainable urban farming.,Creative,Environment,No
"If inflation rises unexpectedly, how might a central bank adjust interest rates?",Knowledge,Economics,No
Write a function in Java to sort an array of strings alphabetically.,Programming,Computer Science,No
Why do mirrors reverse left and right but not up and down?,Commonsense,Physics,No
Draft an email response to a client query about product customization options.,Instruction,Business,Yes
Who composed the opera 'The Magic Flute'?,Knowledge,Music,No
"Solve for y: 3y - 7 = 14, then graph the solution on a number line.",Math,Algebra,No
Translate to Japanese: 'Innovation drives economic growth in competitive markets.',Instruction,Language,No
Read the scientific abstract and critique the sample size's impact on generalizability.,Reading,Research Methods,Yes
Invent a superhero whose powers are based on recycling materials; describe their origin story.,Creative,Environment,No
What happens to air pressure as you climb a mountain?,Knowledge,Geography,No
Write a dialogue between a coach and athlete overcoming a performance slump.,Dialogue,Health,Yes
Calculate the compound interest on $5000 at 4% annually for 5 years.,Math,Finance,No
Explain the significance of the Rosetta Stone in deciphering ancient Egyptian hieroglyphs.,Knowledge,History,No
"If you forget to save a document before closing the app, what typically happens?",Commonsense,Technology,No
Paraphrase the poem's stanza to modern slang while keeping the rhyme scheme.,Instruction,Literature,Yes
"Design a flowchart for user authentication in a web app, including error handling.",Programming,Computer Science,No
Why do leaves change color in autumn?,Commonsense,Biology,No
Read the market analysis report and predict two potential risks for expansion into Asia.,Reading,Business,Yes
Compose a limerick about a clumsy inventor in a steampunk workshop.,Creative,Literature,No
What is the pH scale used to measure?,Knowledge,Chemistry,No
"Write a SQL query to join tables for customer orders and products, filtering by date",Programming,Computer Science,No
"If a bridge sways in the wind, why doesn't it usually collapse?",Commonsense,Physics,No
Summarize the interview transcript with a celebrity chef on fusion cuisine trends.,Instruction,Culinary Arts,Yes
Who directed the film 'Inception'?,Knowledge,Film,No
Rewrite in passive voice: “The teacher explained the lesson.”,Instruction,Language,No
Why does bread rise when yeast is added?,Commonsense,Biology,No
"If you forget to water a plant, what happens over time?",Commonsense,Biology,No
"From the article, list two challenges in international trade.",Reading,Economics,Yes
What is the main function of the mitochondria in a cell?,Knowledge,Biology,No
"If you add baking soda to vinegar, what observable reaction occurs?",Commonsense,Chemistry,No
"Write a Python class for a BankAccount with deposit, withdraw, and balance methods.",Programming,Computer Science,No
Read the email chain and suggest a polite way to decline the meeting invitation.,Instruction,Business,Yes
Compose a villanelle about the fleeting nature of summer evenings.,Creative,Literature,No
"Solve the system: 2x + y = 5, x - y = 1.",Math,Algebra,No
Who was the lead singer of The Beatles?,Knowledge,Music,No
Explain the impact of deforestation on biodiversity with two examples.,Knowledge,Environment,No
"User: Can you recommend a book on quantum physics? AI: Sure, ""Quantum"" by Manjit Kumar. User: Is it beginner-friendly?",Dialogue,Education,Yes
Integrate ∫(x^3 + 2x) dx.,Math,Calculus,No
"Paraphrase: ""The economy is recovering faster than anticipated due to stimulus measures.""",Instruction,Economics,No
What causes the Northern Lights?,Knowledge,Astronomy,No
Design a logo concept for a eco-friendly coffee shop using recycled materials theme.,Creative,Art,No
"If a stock price doubles and then halves, what is the net change?",Commonsense,Finance,No
Read the blog post and extract three key takeaways on remote learning challenges.,Reading,Education,Yes
Write a loop in Java to print even numbers from 1 to 100.,Programming,Computer Science,No
Translate to Portuguese: 'Technology transforms how we communicate daily.',Instruction,Language,No
Compare the Renaissance and Enlightenment periods in terms of scientific advancements.,Knowledge,History,No
Why do cats purr?,Commonsense,Biology,No
"Draft a thank-you note after a job interview, highlighting a specific discussion point.",Instruction,Career,No
What is the hypotenuse in a right triangle with legs 3 and 4?,Math,Geometry,No
Invent a board game rule set for teaching basic ecology concepts to kids.,Creative,Environment,No
Explain Newton's first law of motion with a real-world example.,Knowledge,Physics,No
User: What's the weather like? AI: Sunny with 75°F. User: Should I bring an umbrella?,Dialogue,Daily Life,Yes
"Summarize the poem ""The Road Not Taken"" by Robert Frost in one paragraph.",Reading,Literature,Yes
What is the output of print(2**3) in Python?,Programming,Computer Science,No
Who won the Nobel Prize in Literature in 2020?,Knowledge,Literature,No
"If you exercise regularly, how does it affect your cardiovascular health?",Commonsense,Health,No
Write a function to validate an email address using regex in JavaScript.,Programming,Computer Science,No
Outline a 5-day meal plan for a vegetarian athlete.,Instruction,Health,No
Read the case study and propose three solutions to the ethical dilemma presented.,Reading,Business,Yes
What is the chemical reaction for combustion of methane?,Knowledge,Chemistry,No
Compose a rap verse about the importance of recycling in urban areas.,Creative,Environment,No
Solve for the roots of x^2 - 7x + 12 = 0.,Math,Algebra,No
Explain the role of the United Nations in maintaining global peace.,Knowledge,Civics,No
Why do airplanes have wings shaped like airfoils?,Commonsense,Physics,No
Translate to Arabic: 'Education opens doors to new opportunities.',Instruction,Language,No
Write a dialogue between a detective and suspect in a mystery novel scene.,Dialogue,Literature,Yes
"Compute the area of a circle with radius 7, using π ≈ 3.14.",Math,Geometry,No
What are the three branches of the US government?,Knowledge,Civics,No
Design a marketing slogan and tagline for a sustainable fashion brand.,Creative,Business,No
"If a fruit basket has 3 apples and 4 oranges, what fraction are apples?",Math,Arithmetic,No
Read the scientific paper and critique its methodology section.,Reading,Research Methods,Yes
"Who painted ""Starry Night""?",Knowledge,Art,No
Explain how vaccines work to build immunity.,Knowledge,Biology,No
Write a recursive function in Python to compute factorial.,Programming,Computer Science,No
User: Help me plan a trip to Paris. AI: Great! Budget? User: Under $2000.,Dialogue,Travel,Yes
Paraphrase the abstract of a paper on machine learning ethics.,Instruction,Computer Science,Yes
What is the capital of Australia?,Knowledge,Geography,No
Invent a myth explaining why the sun sets in the west.,Creative,Astronomy,No
Why do we yawn?,Commonsense,Biology,No
"Summarize the key plot twists in ""The Sixth Sense.""",Reading,Film,Yes
Calculate 15% tip on a $45 bill.,Math,Arithmetic,No
Explain the difference between prokaryotes and eukaryotes.,Knowledge,Biology,No
Write SQL to update user status where ID > 100.,Programming,Computer Science,No
Compose a letter to the editor on improving public transport.,Instruction,Civics,No
Read the transcript and identify nonverbal cues indicating deception.,Reading,Psychology,Yes
What is Ohm's law?,Knowledge,Physics,No
Design a puzzle that incorporates elements of world history.,Creative,History,No
"If it rains, the picnic is canceled; it rained, so...?",Commonsense,Logic,No
Translate to Russian: 'Peace begins with a smile.',Instruction,Language,No
Who developed the theory of evolution by natural selection?,Knowledge,Biology,No
Write a short script for a comedy skit about time travel mishaps.,Creative,Literature,No
Find the slope of the line y = 2x + 3.,Math,Algebra,No
Explain the causes and effects of the Industrial Revolution.,Knowledge,History,No
User: What's for dinner? AI: Pasta. User: Can you make it vegan?,Dialogue,Daily Life,Yes
What is the largest ocean on Earth?,Knowledge,Geography,No
Outline steps to troubleshoot a slow computer.,Instruction,Technology,No
"Read the review and rate its persuasiveness on a scale of 1-10, explaining why.",Reading,Media Literacy,Yes
Write a loop to sum numbers from 1 to n in C++.,Programming,Computer Science,No
Why do birds migrate seasonally?,Commonsense,Biology,No
Compose a ballad about a lost treasure in the Amazon.,Creative,Literature,No
Solve: 5x - 10 = 20.,Math,Algebra,No
What is the currency of Japan?,Knowledge,Economics,No
Design an app interface for tracking personal carbon footprint.,Creative,Environment,No
