Prompt,Category,Subject,Context Dependency,SourceDataset,SourceSplit,SourceId,Choices,AnswerIndex,AnswerLetter,AnswerText,Gsm8kAnswer,MbppTests
"The Rotary Club is holding its annual fundraising Omelet Breakfast, with tickets sold in advance. The tickets come in different price levels, for young children, older children, adults, and seniors. This year they sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. To figure out how many eggs they need to buy, the club estimates that small children can eat a half omelet, older children can eat a whole omelet, adults will eat two omelets, and seniors will eat one and a half omelets. Just to be on the safe side, they get enough eggs to make 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"They'll need to make an estimated 0.5 * 53 = <<0.5*53=26.5>>26.5 omelets for small children.
They'll need to make an estimated 1 * 35 = <<1*35=35>>35 omelets for older children.
They'll need to make an estimated 2 * 75 = <<2*75=150>>150 omelets for the adults.
And they'll need to make an estimated 1.5 * 37 = <<1.5*37=55.5>>55.5 omelets for the seniors.
Along with the 25 extra omelets they'll make as a buffer, they will need enough eggs for 26.5 + 35 + 150 + 55.5 + 25 = <<26.5+35+150+55.5+25=292>>292 omelets.
So they will need 2 * 292 = <<2*292=584>>584 eggs.
#### 584",
"Flora has been experiencing frequent fractures. Dr. Juan has asked her to strengthen her bones by drinking 105 gallons of milk within 3 weeks. Flora thinks that drinking 3 gallons of milk daily will be enough, but her brother says she'll still need to drink more. To fulfill Dr. Juan’s requirement, how many more gallons must Flora drink daily?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"3 weeks translate to 3 * 7 days = <<3*7=21>>21 days.
To meet Dr. Juan’s recommendation would mean drinking 105/21 = <<105/21=5>>5 gallons daily.
This means that Flora must drink 5 -3 = <<5-3=2>>2 more gallons daily.
#### 2",
Joe played catch with Derek and Tammy. He caught the ball 23 times. Derek made four less than double the catches Joe did. Tammy caught the ball sixteen more than a third of the times Derek did. How many times did Tammy catch the ball?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Derek caught the ball 2 * 23 - 4 = 46 - 4 = <<2*23-4=42>>42 times.
Tammy caught the ball 42 / 3 + 16 = 14 + 16 = <<42/3+16=30>>30 times.
#### 30",
"Nurse Missy is attending to the needs of 12 patients in her hospital ward.  Most of her patients require standard care, but one-third of her patients have special dietary requirements, which increases the serving time by 20%.  At dinner time, she brings each patient their meal. It takes 5 minutes to serve each standard care patient.  How long does it take, in minutes, for Missy to serve dinner to all of her patients?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Nurse Missy has 12*(1/3)=<<12*(1/3)=4>>4 special needs patients.
She has 12-4=<<12-4=8>>8 standard care patients.
Special needs patients take 20% longer to serve, which means serving takes 1.2*5=6 minutes per patient.
To serve dinner to all of her standard care patients, it will take 5*8=<<5*8=40>>40 minutes.
To serve dinner to all of her special needs patients, it will take 6*4=<<6*4=24>>24 minutes.
In total, it will take 40+24=<<40+24=64>>64 minutes to serve dinner to all of her patients.
#### 64",
"Lisa and Carly go shopping together. Lisa spends $40 on t-shirts then spends half of this amount on jeans and twice this amount on coats. Carly spends only a quarter as much as Lisa on t-shirts but spends 3 times as much on jeans and a quarter of the amount Lisa spent on coats. In dollars, how much did Lisa and Carly spend in total?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Lisa spends $40 on t-shirts / 2 = $<<40/2=20>>20 on jeans.
She also spends $40 on t-shirts * 2 = $<<40*2=80>>80 on coats.
So Lisa has spent a total of 40 + 20 + 80 = $<<40+20+80=140>>140.
Carly spends $40 / 4 = $<<40/4=10>>10 on t-shirts.
She also spends $20 per pair of jeans * 3 = $<<20*3=60>>60 on jeans.
She then also spends $80 Lisa’s cost for coats / 4 = $<<80/4=20>>20 on coats.
So Carly has spent a total of 10 + 60 + 20 = $<<10+60+20=90>>90.
Lisa and Carly have therefore spent a total of 140 + 90 = $<<140+90=230>>230.
#### 230",
Bailey needs to buy 2 new sets of towels for the guest bathroom and 4 new sets for her master bathroom.  The set of towels for the guest bathroom are $40.00 each and the master bathroom set is $50.00 each.  The store is currently offering 20% off so how much will Bailey spend on towel sets?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"She needs 2 sets of guest towels that are $40.00 each so that’s 2*40 = $<<2*40=80.00>>80.00
She needs 4 sets of master bath towels that are $50.00 each so that’s 4*50 = $<<4*50=200.00>>200.00
Together, the towels will cost 80+200 = $<<80+200=280.00>>280.00
The store is offering 20% off of her $280.00 towels so that’s 280*.20 = $<<280*.20=56.00>>56.00 discount
Her $280.00 towels have a $56.00 discount making them 280-56 =$<<280-56=224.00>>224.00
#### 224",
"I went to the music shop and there were CDs of The Life Journey for $100, A Day a Life for $50, and When You Rescind for $85 on display. If I bought 3 of each CD to share with my friends, what's the total amount of money I spent in the shop?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"The total cost of The Life Journey is 3 × $100 = $<<3*100=300>>300.
The total cost of When You Rescind is 3 × $85 = $<<3*85=255>>255.
The total cost of A Day a Life is 3 × $50 = $<<3*50=150>>150.
The total cost for all the CDs is $150 + $255 + $300 = $<<150+255+300=705>>705.
#### 705",
"Veronica's flashlight was bright enough to be seen at night from a distance of 1000 feet.  Freddie's flashlight could be seen at night for a distance three times farther than Veronica's flashlight, and Velma's flashlight could be seen at night from a distance 2000 feet less than 5 times farther than Freddie's flashlight.  If Veronica's and Velma's flashlight were placed next to one another and turned on at night, how much farther, in feet, could Velma's flashlight be seen compared to Veronica's?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Freddie's flashlight could be seen at night for a distance three times farther than Veronica's flashlight, for a total distance of 3*1000=<<3*1000=3000>>3000 feet.
Five times farther than the distance from which Freddie's flashlight can be seen at night is 5*3000=<<5*3000=15000>>15,000 feet.
Velma's flashlight could be seen at night from a distance 2000 feet less than 5 times farther than Freddie's flashlight, for a total distance of 15,000-2,000=<<15000-2000=13000>>13,000 feet.
Compared to Veronica's flashlight, Velma's flashlight could be seen for a distance of 13,000-1,000=<<13000-1000=12000>>12,000 feet farther.
#### 12,000",
"A new movie gets released and makes $120 million in the box office for its opening weekend.  It ends up making 3.5 times that much during its entire run.  If the production company gets to keep 60%, how much profit did they make if the movie cost $60 million to produce?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Over the movies run it made 120*3.5=<<120*3.5=420>>420 million
So the production company made 420,000,000*.6=$<<420000000*.6=252000000>>252,000,000
So they got a profit of 252,000,000-60,000,000=$<<252000000-60000000=192000000>>192,000,000
#### 192000000",
"Cupcakes are sold in packages of 10 and 15. Jean bought 4 packs of 15 cupcakes.  If she will give one cupcake each to 100 children in the orphanage, how many packs of 10 cupcakes should she need to buy?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Jean already bought 15 cupcakes x 4 packs = <<15*4=60>>60 cupcakes.
She needs 100 - 60 = <<100-60=40>>40 more cupcakes.
Thus, she needs to buy 40/10 = <<40/10=4>>4 packs of 10 cupcakes.
#### 4",
There are 18 green leaves on each of the 3 tea leaf plants. One-third of them turn yellow and fall off on each of the tea leaf plants.  How many green leaves are left on the tea leaf plants?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"In total, the 3 tea leaf plants have 18 x 3 = <<18*3=54>>54 green leaves.
One-third of the yellow leaves falling off of all plants is 54 / 3 = <<54/3=18>>18.
The number of remaining green leaves on the plants is 54 - 18 = <<54-18=36>>36.
#### 36",
Sab and Dane sold 6 pairs of shoes that cost $3 each and 18 shirts that cost $2. How much will each of them earn if they divided their total earning?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"They earned 6 x $3 = $<<6*3=18>>18 for the shoes they sold.
They earned 18 x $2 = <<18*2=36>>36 for the shirts they sold.
So, they earned $18 + $36 = $<<18+36=54>>54 in total for the clothing they sold.
Therefore, Sab and Dane earned $54 / 2 = $<<54/2=27>>27 each.
#### 27",
"Alice and Bob decided to bake cookies for their first date. Alice baked 74 chocolate chip cookies and Bob baked 7 peanut butter cookies. After accidentally throwing some on the floor, Alice baked 5 more cookies and Bob baked 36 more. If they had 93 edible cookies at the end, how many were accidentally thrown on the floor?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Before throwing the cookies, Alice and Bob baked 74 + 7 = <<74+7=81>>81 cookies.
After throwing the cookies, they baked 5 + 36 = <<5+36=41>>41 cookies.
In total, they baked 81 + 41 = <<81+41=122>>122 cookies
They threw 122 - 93 = <<122-93=29>>29 cookies on the floor.
#### 29",
"Ian won $100 in the lottery.  He decided to use the money to pay off debts. He paid $20 to Colin. He then paid twice as much to Helen, as he had paid to Colin. Then finally, he paid half as much to Benedict, as he had paid to Helen.  How much money, in dollars, does he have left after paying off debts?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Starting with $100, he paid $20 to Colin, leaving him with $100-$20=$<<100-20=80>>80.
Twice as much as $20 is 2*$20=$<<2*20=40>>40.
Thus, he paid $40 to Helen, leaving him with $80-$40=$<<80-40=40>>40.
Half as much to Benedict as he had paid to Helen is $40/2=$<<40/2=20>>20.
Thus, he paid $20 to Benedict, leaving him with $40-$20=$20 after paying off all debts.
#### 20",
"Sally and Bob have made plans to go on a trip at the end of the year. They both decide to work as babysitters and save half of what they've earned for their trip. If Sally makes $6 per day and Bob makes $4 per day, how much money will they both have saved for their trip after a year?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Saly saves 1/2 * $6/day = $<<1/2*6=3>>3/day.
Since each year have 365 days, the total amount of money Sally will save in a year is $3/day * 365 days/year = $<<3*365=1095>>1095/year
Bob saves 1/2 * $4/day = $<<1/2*4=2>>2/day.
The total amount of money Bob will have saved in a year is $2/day * 365 days/year = $<<2*365=730>>730/year
In total, Sally and Bob would have saved $730 + $1095 = $<<730+1095=1825>>1825
#### 1825",
"If 24 out of every 60 individuals like football and out of those that like it, 50% play it, how many people would you expect play football out of a group of 250?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"If 50% of individuals that like football play it, and there are 24 out of 60 individuals that like it, then 24*50% = 12 out of 60 individuals play it
If 12 individuals play it out of 60 individuals then that means only 12/60 = 1/5 or 20% play it
If 20% of individuals play football out of a group of 250 people, one would expect 250*20% = <<250*20*.01=50>>50 individuals to play it
#### 50",
"Kyle is 5 years older than Julian. Julian is 20 years younger than Frederick. Frederick is 2 times older than Tyson. If Tyson is 20, how old is Kyle?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Frederick is 20 * 2 = <<20*2=40>>40 years old
Julian is 40 - 20 = <<40-20=20>>20 years old
Kyle is 20 + 5 = <<20+5=25>>25 years old
#### 25",
"Shawna's workout goal is 30 situps. On Monday, Shawna was only able to do 12 situps, so she decided that she would make up for the rest on Tuesday. However, she was only able to do 19 situps on Tuesday. How many situps would Shawna have to do on Wednesday to meet her minimum goal and make up for the ones she didn't do?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"On Monday, Shawna was short of 30 - 12 = <<30-12=18>>18 situps
On Tuesday, Shawna was short of 30 - 19 = <<30-19=11>>11 situps
On Wednesday, Shawna would have to do 30 + 18 + 11 = <<30+18+11=59>>59 situps
#### 59",
4 friends went to buy from a clothes shop. Every item was 50% off.  All four friends decided to buy a t-shirt. The original price of the t-shirt was 20 dollars. How much money did they spend in total?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"After the 50% discount, the t-shirt cost 20 * 0.5 = $<<20*0.5=10>>10.
So in all, the 4 friends spent 4 * $10 = $<<4*10=40>>40.
#### 40",
"There are six chairs in each row in a church. If there are 20 rows of chairs in the church, and each chair holds five people, calculate the number of people who have to sit in the chairs for the church to be full.",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"If there are six chairs in each row in the church, the total number of chairs in the church is 6*20 = <<6*20=120>>120
Since each chair holds 5 people, 5*120 = <<5*120=600>>600 people must sit in all of the chairs for the church to be full.
#### 600",
"Sabrina went to the library and found a historical series novel called The Rangers Apprentice. There are 14 books in the series, and each book has 200 pages. She read four books in a month and half the number of books remaining in the second month. What's the total number of pages Sabrina has to read to finish the whole series?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"The total number of pages in the series is 14 books * 200 pages/book = <<14*200=2800>>2800 pages.
Sabrina read 4 books *200 pages/book = <<4*200=800>>800 pages in the first month.
She still has 14 books - 4 books = <<14-4=10>>10 books after reading four books.
In the second month, she read 1/2*10 books = <<1/2*10=5>>5 books.
The total number of pages she read is 5 books * 200 pages/book = <<5*200=1000>>1000 in the second month.
In total, Sabrina 1000 pages + 800 pages = <<1000+800=1800>>1800 pages in two months.
Sabrina has to read 2800 pages - 1800 pages = <<2800-1800=1000>>1000 more pages to complete the total series.
#### 1000",
Mary and Rose went shopping to buy presents. They spent the same amount. Mary bought two pairs of sunglasses for $50 each and a pair of jeans for $100.  Rose bought a pair of shoes at $150 and two decks of basketball cards. How much did one deck of basketball cards cost?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Two pairs of sunglasses costs 2 x $50 = $<<2*50=100>>100.
So, Mary spent $100 + $100 = $<<100+100=200>>200.
Thus, two decks of basketball cards costs $200 - $150 = $<<200-150=50>>50.
Therefore, one deck of basketball cards costs $50/2 = $<<50/2=25>>25.
#### 25",
"Manex is a tour bus driver. He has to drive 55 miles to the destination and drive going back to the starting point on a different way that is 10 miles farther. If he can drive 1 mile for 2 minutes and stayed 2 hours at the destination, how long will it take the bus driver to do the entire tour in hours?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"The bus traveled 55 + 10 = <<55+10=65>>65 miles going back to the starting point.
So, the bus traveled a total of 55 + 65 = <<55+65=120>>120 miles.
It took 120 x 2 = <<120*2=240>>240 minutes to travel.
Since there are 60 minutes in 1 hour, then the bus traveled for 240/60 = <<240/60=4>>4 hours.
Therefore, the entire tour took 4 + 2 = <<4+2=6>>6 hours.
#### 6",
Faith went to a baking shop and bought flour that cost $5 and a cake stand that costs $28. She then gave the cashier two $20 bills and $3 in loose coins. How much change will she receive?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Faith must pay $28 + $5 = $<<28+5=33>>33 for the flour and cake stand.
Her two $20 bills amount to $20 x 2 = $<<20*2=40>>40.
So, she gave the cashier a total of $40 + $3 = $<<40+3=43>>43.
Hence, her change is $43 - $33 = $<<43-33=10>>10.
#### 10",
"Two white socks cost 25 cents more than a single brown sock. If two white socks cost 45 cents, how much would you pay for 15 brown socks?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Two white socks cost 25 cents more than a single brown sock, meaning a brown sock is sold at $0.45-$0.25=$0.20
The cost of buying 15 brown socks is 15*$0.20=$<<15*0.20=3>>3
#### 3",
"Seth bought some boxes of oranges. He gave a box to his mother. He then gave away half of the remaining boxes. If Seth has 4 boxes of oranges left, how many boxes did he buy in the first place?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"After giving a box to his mom, Seth had 4*2=<<4*2=8>>8 boxes left.
Seth bought 8+1=<<8+1=9>>9 boxes of oranges.
#### 9",
Jesse and Mia are competing in a week long race. They have one week to run 30 miles. On the first three days Jesse averages (2/3) of a mile. On day four she runs 10 miles. Mia averages 3 miles a day over the first 4 days. What is the average of their average that they have to run over the final three days?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Jesse runs 2 miles in the first three days because 3 x (2/3) = <<3*(2/3)=2>>2
Jesse has 18 miles left to run because 30 - 10 - 2 = <<30-10-2=18>>18
Jesse has to run an average of 6 miles a day because 18 / 3 = <<18/3=6>>6
Mia runs 12 miles over the first four days because 4 x 3 = <<4*3=12>>12
She has 18 miles left to run because 30 - 12 = <<30-12=18>>18
She has to run six miles a day because 18 / 3 = <<18/3=6>>6
The total they both have to run is <<12=12>>12 miles a day
The average they have to run per day on average is 6 miles because 12 / 2 = <<12/2=6>>6
#### 6",
Johann and two friends are to deliver 180 pieces of certified mail. His friends each deliver 41 pieces of mail. How many pieces of mail does Johann need to deliver?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Friends = 41 * 2 = <<41*2=82>>82
Johann = 180 - 82 = <<180-82=98>>98
Johann must deliver 98 pieces of mail.
#### 98",
Carla bought 2 bags of mini peanut butter cups on clearance.  Each bag was $6.00 but was 75% off. How much did she spend on 2 bags of candy?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Each bag was $6.00 but was marked down 75% for clearance so that's 6*.75 = $<<6*.75=4.50>>4.50 discount
Each bag was $6.00 and there is a $4.50 discount so each bag is 6-4.50 = $<<6-4.50=1.50>>1.50
Each bag was marked down to $1.50 a bag and she bought 2 bags for a total of 1.5*2 = $<<1.5*2=3.00>>3.00
#### 3",
Kylie makes 10 beaded necklaces on Monday and 2 beaded necklaces on Tuesday. Then Kylie makes 5 beaded bracelets and 7 beaded earrings on Wednesday. 20 beads are needed to make one beaded necklace. 10 beads are needed to make one beaded bracelet. 5 beads are needed to make one beaded earring. How many beads does Kylie use in total to make her jewelry?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Kylie makes 10 + 2 = <<10+2=12>>12 beaded necklaces
The number of beads used for the necklaces is 12 * 20 = <<12*20=240>>240 beads
The number of beads used for the bracelets is 5 * 10 = <<5*10=50>>50 beads
The number of beads used for the earrings is 7 * 5 = <<7*5=35>>35 beads
The total number of beads used is 240 + 50 + 35 = <<240+50+35=325>>325 beads
#### 325",
"Mr. Caiden wants to do repairs to his house and requires 300 feet of metal roofing to do this. If each foot of roofing costs $8, and the supplier of the metal roofing brings in 250 feet of metal roofing for free, how much money is Mr. Caiden required to pay for the remaining metal roofing?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"The supplier brought 300 ft - 250 ft = <<300-250=50>>50 fewer feet of metal roofing.
Therefore the total amount of money Mr. Caiden has to pay for the remaining metal roofings is 50 feet * $8/foot = $<<50*8=400>>400
#### 400",
James buys $3000 worth of stuff from Amazon.  He has to return a TV that cost $700 and a bike that cost $500.  He also sells another bike that cost 20% more than the bike he returned for 80% of what he bought it for.  He then buys a toaster for $100.  How much is he out of pocket for everything?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"The items he returned were valued at $700 + $500 = $<<700+500=1200>>1200
So far he is out 3000-1200 = <<3000-1200=1800>>1800 after recouping 1200.
An item that is 20% more expensive cost 1 + .2 = 1.2 times as much as the item
So that means the bike he sold cost $500 * 1.2 = $<<500*1.2=600>>600
He sold it for $600 * .8 = $<<600*.8=480>>480
From the bike that he had bought for 600, he was out 600-480 =<<600-480=120>>120
So far he is out 1800+120 = <<1800+120=1920>>1920
If he also bought a toaster worth 100, he was out 1920+100 = <<1920+100=2020>>2020
#### 2020",
Tom wants to make the world's largest dough ball.  He needs 500 pounds of flour and he can buy 50-pound bags of flour for $20.  He also needs 10 pounds of salt and salt cost $.2 a pound.  He also spends $1000 promoting everything.  He then sells tickets for $20 each and sells 500 tickets.  How much money did he make?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"He needs 500/50=<<500/50=10>>10 bags of flour
That cost 20*10=$<<20*10=200>>200
He needs 10*.2=$<<10*.2=2>>2 worth of salt
So everything cost 1000+200+2=$<<1000+200+2=1202>>1202
He makes 20*500=$<<20*500=10000>>10,000 selling tickets
So he makes a profit of 10000-1202=$<<10000-1202=8798>>8798
#### 8798",
